municipality_id,arrears_mkd,notes
aerodrom,122991256,Q1 2026 ESPEO report - reported liabilities by entity
aracinovo,85317036,Q1 2026 ESPEO report - reported liabilities by entity
bitola,137377072,Q1 2026 ESPEO report - reported liabilities by entity
veles,77188443,Q1 2026 ESPEO report - reported liabilities by entity
gevgelija,44442042,Q1 2026 ESPEO report - reported liabilities by entity
gostivar,879906898,Q1 2026 ESPEO report - reported liabilities by entity (largest debtor)
debar,38236977,Q1 2026 ESPEO report - reported liabilities by entity
kavadarci,327577104,Q1 2026 ESPEO report - reported liabilities by entity
karpos,233971583,Q1 2026 ESPEO report - reported liabilities by entity
kicevo,60334955,Q1 2026 ESPEO report - reported liabilities by entity
kocani,68295276,Q1 2026 ESPEO report - reported liabilities by entity
kumanovo,16223788,Q1 2026 ESPEO report - reported liabilities by entity
lipkovo,61886470,Q1 2026 ESPEO report - reported liabilities by entity
ohrid,79067718,Q1 2026 ESPEO report - reported liabilities by entity
prilep,28487349,Q1 2026 ESPEO report - reported liabilities by entity
radovis,645746,Q1 2026 ESPEO report - reported liabilities by entity (minimal arrears)
struga,111816877,Q1 2026 ESPEO report - reported liabilities by entity
strumica,102942544,Q1 2026 ESPEO report - reported liabilities by entity
tetovo,737602226,Q1 2026 ESPEO report - reported liabilities by entity (2nd largest debtor)
stip,14516785,Q1 2026 ESPEO report - reported liabilities by entity
centar,1952213,Q1 2026 ESPEO report - reported liabilities by entity (minimal arrears)
gazi-baba,14416667,Q1 2026 ESPEO report - reported liabilities by entity
kisela-voda,209773557,Q1 2026 ESPEO report - reported liabilities by entity
butel,55127832,Q1 2026 ESPEO report - reported liabilities by entity
cair,130537650,Q1 2026 ESPEO report - reported liabilities by entity
gjorce-petrov,90158638,Q1 2026 ESPEO report - reported liabilities by entity
saraj,169169134,Q1 2026 ESPEO report - reported liabilities by entity
suto-orizari,7659092,Q1 2026 ESPEO report - reported liabilities by entity
